id,type,title,year,citation,url
amazon2023,report,2023 Amazon Sustainability Report,2023,Amazon Staff. (2023). Amazon Sustainability Report. https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf,https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf
chen2024,paper,Efficient Heterogeneous Large Language Model Decoding with Model-Attention Disaggregation,2024,"Shaoyuan Chen, Wencong Xiao, Yutong Lin, Mingxing Zhang, Yingdi Shan, Jinlei Jiang, Kang Chen, Yongwei Wu. (2024). Efficient Heterogeneous Large Language Model Decoding with Model-Attention Disaggregation. arXiv. https://arxiv.org/pdf/2405.01814",https://arxiv.org/pdf/2405.01814
chung2025,paper,The ML.ENERGY Benchmark: Toward Automated Inference Energy Measurement and Optimization,2025,"Jae-Won Chung, Jiachen Liu, Jeff J. Ma, Ruofan Wu, Oh Jun Kweon, Yuxuan Xia, Zhiyu Wu, Mosharaf Chowdhury (2025). The ML.ENERGY Benchmark: Toward Automated Inference Energy Measurement and Optimization. arXiv. https://arxiv.org/pdf/2505.06371",https://arxiv.org/pdf/2505.06371
cottier2024,paper,The Rising Costs of Training Frontier AI Models,2024,"Ben Cottier, Robi Rahman, Loredana Fattorini, Nestor Maslej, David Owen. (2024). The Rising Costs of Training Frontier AI Models. arXiv. https://arxiv.org/pdf/2405.21015",https://arxiv.org/pdf/2405.21015
dodge2022,paper,Measuring the Carbon Intensity of AI in Cloud Instances,2022,"Jesse Dodge, Taylor Prewitt, Remi Tachet Des Combes, Erika Odmark, Roy Schwartz, Emma Strubell, Alexandra Sasha Luccioni, Noah A. Smith, Nicole DeCario, Will Buchanan (2022). Measuring the Carbon Intensity of AI in Cloud Instances. FAccT '22. https://arxiv.org/pdf/2206.05229",https://arxiv.org/pdf/2206.05229
ebert2024,paper,"AI, Climate, and Regulation: From Data Centers to the AI Act",2024,"Kai Ebert, Nicolas Alder, Ralf Herbrich, & Philipp Hacker (2024). AI, climate, and regulation: From data centers to the AI act arXiv. https://arxiv.org/html/2410.06681v1",https://arxiv.org/pdf/2410.06681
erben2023,paper,How Can We Train Deep Learning Models Across Clouds and Continents? An Experimental Study,2023,"Alexander Erben, Ruben Mayer, & Hans-Arno Jacobsen (2023). How can we train deep learning models across clouds and continents? an experimental study arXiv. https://arxiv.org/pdf/2306.03163",https://arxiv.org/pdf/2306.03163
fernandez2025,paper,Energy Considerations of Large Language Model Inference and Efficiency Optimizations,2025,"Jared Fernandez Clara Na , Vashisth Tiwari , Yonatan Bisk , Sasha Luccioni, Emma Strubell. https://arxiv.org/pdf/2504.17674.pdf",https://arxiv.org/pdf/2504.17674
griggs2024,paper,M�lange: Cost Efficient Large Language Model Serving by Exploiting GPU Heterogeneity,2024,"Tyler Griggs, Xiaoxuan Liu, Jiaxiang Yu, Doyoung Kim, Wei-Lin Chiang, Alvin Cheung, Ion Stoica. (2024). Mélange: Cost Efficient Large Language Model Serving by Exploiting GPU Heterogeneity. arXiv. https://arxiv.org/pdf/2404.14527",https://arxiv.org/pdf/2404.14527
han2024,paper,The Unpaid Toll: Quantifying the Public Health Impact of AI,2024,"Yuelin Han, Zhifeng Wu, Pengfei Li, Adam Wierman, Shaolei Ren (2024). The Unpaid Toll: Quantifying the Public Health Impact of AI. arXiv. https://arxiv.org/pdf/2412.06288",https://arxiv.org/pdf/2412.06288
jegham2025,paper,"How Hungry is AI? Benchmarking Energy, Water and Carbon Footprint of LLM Inference",2025,"Nidhal Jegham, Marwan Abdelatti, Lassad Elmoubarki, Abdeltawab Hendawi (2025). How Hungry is AI? Benchmarking Energy, Water and Carbon Footprint of LLM Inference. arXiv. https://arxiv.org/pdf/2505.09598",https://arxiv.org/pdf/2505.09598
